Date,Blue1,Blue2,Blue3
2021-08-23(一),4,9,8
2021-08-22(日),0,1,0
2021-08-21(六),1,8,4
2021-08-20(五),3,7,2
2021-08-19(四),9,2,9
2021-08-18(三),0,2,3
2021-08-17(二),9,2,1
2021-08-16(一),7,3,0
2021-08-15(日),2,1,6
2021-08-14(六),7,6,5
2021-08-13(五),1,8,9
2021-08-12(四),1,4,4
2021-08-11(三),9,5,0
2021-08-10(二),2,5,8
2021-08-09(一),2,7,6
2021-08-08(日),7,9,7
2021-08-07(六),3,9,6
2021-08-06(五),2,8,3
2021-08-05(四),1,4,4
2021-08-04(三),4,5,2
2021-08-03(二),8,1,3
2021-08-02(一),9,4,5
2021-08-01(日),9,2,0
2021-07-31(六),6,0,1
2021-07-30(五),8,7,2
2021-07-29(四),2,5,8
2021-07-28(三),1,3,1
2021-07-27(二),1,2,1
2021-07-26(一),0,5,3
2021-07-25(日),4,0,7
2021-07-24(六),7,5,2
2021-07-23(五),4,4,7
2021-07-22(四),0,6,6
2021-07-21(三),6,4,7
2021-07-20(二),8,7,1
2021-07-19(一),0,3,6
2021-07-18(日),3,8,0
2021-07-17(六),4,5,0
2021-07-16(五),7,4,0
2021-07-15(四),2,7,1
2021-07-14(三),9,3,8
2021-07-13(二),4,9,7
2021-07-12(一),5,4,6
2021-07-11(日),4,7,2
2021-07-10(六),3,7,1
2021-07-09(五),1,4,4
2021-07-08(四),9,9,4
2021-07-07(三),7,1,6
2021-07-06(二),6,9,3
2021-07-05(一),2,1,3
2021-07-04(日),1,3,2
2021-07-03(六),6,7,6
2021-07-02(五),0,2,3
2021-07-01(四),2,7,6
2021-06-30(三),3,6,6
2021-06-29(二),1,8,4
2021-06-28(一),0,4,2
2021-06-27(日),6,4,5
2021-06-26(六),1,2,6
2021-06-25(五),8,7,3
2021-06-24(四),8,3,7
2021-06-23(三),1,2,5
2021-06-22(二),6,6,5
2021-06-21(一),8,8,7
2021-06-20(日),2,9,9
2021-06-19(六),8,9,5
2021-06-18(五),7,2,3
2021-06-17(四),3,0,7
2021-06-16(三),8,0,7
2021-06-15(二),4,3,3
2021-06-14(一),0,8,9
2021-06-13(日),0,4,3
2021-06-12(六),4,1,1
2021-06-11(五),7,1,2
2021-06-10(四),1,6,1
2021-06-09(三),8,6,2
2021-06-08(二),9,7,2
2021-06-07(一),9,4,5
2021-06-06(日),1,9,8
2021-06-05(六),8,5,8
2021-06-04(五),1,7,6
2021-06-03(四),2,5,8
2021-06-02(三),2,3,2
2021-06-01(二),9,6,7
2021-05-31(一),0,7,0
2021-05-30(日),3,9,5
2021-05-29(六),8,0,0
2021-05-28(五),9,5,4
2021-05-27(四),0,7,0
2021-05-26(三),8,8,8
2021-05-25(二),0,8,1
2021-05-24(一),4,5,6
2021-05-23(日),1,6,0
2021-05-22(六),6,8,8
2021-05-21(五),0,5,5
2021-05-20(四),1,9,8
2021-05-19(三),8,1,6
2021-05-18(二),1,7,3
2021-05-17(一),6,0,6
2021-05-16(日),6,4,1
2021-05-15(六),9,4,2
2021-05-14(五),4,0,7
2021-05-13(四),7,4,8
2021-05-12(三),4,0,1
2021-05-11(二),8,0,1
2021-05-10(一),4,5,0
2021-05-09(日),8,5,9
2021-05-08(六),5,5,0
2021-05-07(五),0,7,9
2021-05-06(四),1,6,1
2021-05-05(三),2,3,1
2021-05-04(二),5,7,7
2021-05-03(一),0,1,2
2021-05-02(日),3,4,9
2021-05-01(六),2,7,1
2021-04-30(五),3,1,2
2021-04-29(四),1,8,3
2021-04-28(三),0,5,3
2021-04-27(二),7,8,2
2021-04-26(一),8,7,2
2021-04-25(日),5,8,9
2021-04-24(六),3,8,5
2021-04-23(五),5,1,2
2021-04-22(四),0,1,9
2021-04-21(三),1,4,5
2021-04-20(二),8,7,7
2021-04-19(一),0,9,8
2021-04-18(日),0,1,4
2021-04-17(六),1,6,8
2021-04-16(五),2,4,4
2021-04-15(四),9,8,9
2021-04-14(三),6,9,9
2021-04-13(二),3,3,3
2021-04-12(一),7,0,5
2021-04-11(日),0,4,5
2021-04-10(六),1,3,7
2021-04-09(五),3,8,3
2021-04-08(四),1,4,4
2021-04-07(三),9,0,2
2021-04-06(二),4,3,2
2021-04-05(一),2,3,5
2021-04-04(日),7,6,6
2021-04-03(六),1,3,1
2021-04-02(五),0,6,7
2021-04-01(四),3,4,0
2021-03-31(三),1,2,8
2021-03-30(二),1,6,7
2021-03-29(一),0,7,9
2021-03-28(日),8,5,3
